iter	RMSE
0	7.067578148
1	7.064836078
2	7.057549742
3	7.052428252
4	7.047828832
5	7.044506706
6	7.038732231
7	7.034234434
8	7.029019035
9	7.025125146
10	7.022432553
11	7.020618506
12	7.013139876
13	7.011487821
14	7.009997211
15	7.005811722
16	7.002176495
17	6.997806196
18	6.994971893
19	6.994043916
20	6.990342126
21	6.984777222
22	6.98331698
23	6.97960984
24	6.97482212
25	6.971660873
26	6.97098895
27	6.968402381
28	6.965857995
29	6.963734054
30	6.959500602
31	6.955926388
32	6.952501526
33	6.949657873
34	6.948546111
35	6.946739208
36	6.942310729
37	6.940261389
38	6.936176806
39	6.932936847
40	6.930856121
41	6.928822614
42	6.927404106
43	6.925496674
44	6.923821925
45	6.922349707
46	6.920345842
47	6.918399593
48	6.914652883
49	6.911205459
50	6.908851839
51	6.907708078
52	6.904864026
53	6.903181035
54	6.900819453
55	6.898274785
56	6.89665624
57	6.892320375
58	6.890668721
59	6.888261103
60	6.886506948
61	6.883626531
62	6.881753902
63	6.877817329
64	6.87630709
65	6.874226157
66	6.873208528
67	6.870969097
68	6.869002781
69	6.867791602
70	6.866801033
71	6.865046427
72	6.863007108
73	6.861466922
74	6.858488832
75	6.856965998
76	6.855531707
77	6.854141477
78	6.854118356
79	6.85165259
80	6.851555055
81	6.849078646
82	6.848135156
83	6.845937891
84	6.844895428
85	6.844613216
86	6.843597938
87	6.841225849
88	6.839203841
89	6.838602915
90	6.837107818
91	6.836246632
92	6.835506493
93	6.833827084
94	6.831250942
95	6.829899956
96	6.827486394
97	6.826483135
98	6.824942309
99	6.822837098
100	6.822318816
101	6.820608644
102	6.820387126
103	6.819999651
104	6.819065966
105	6.816327161
106	6.813987368
107	6.810812771
108	6.809756852
109	6.808859394
110	6.805782061
111	6.803778773
112	6.803025305
113	6.801589728
114	6.801466237
115	6.798607565
116	6.797606294
117	6.795938194
118	6.794195796
119	6.792150781
120	6.789173966
121	6.787556028
122	6.786565886
123	6.784791069
124	6.782154045
125	6.781203908
126	6.779080078
127	6.776754805
128	6.775113341
129	6.773505311
130	6.772565122
131	6.771959065
132	6.770867723
133	6.768746552
134	6.76650499
135	6.76518059
136	6.762830974
137	6.762033206
138	6.761059478
139	6.758601831
140	6.756564442
141	6.754058954
142	6.752618015
143	6.751186821
144	6.749411254
145	6.748663958
146	6.746094
147	6.744417252
148	6.741310318
149	6.740718414
150	6.739973203
151	6.739232109
152	6.736300387
153	6.733385431
154	6.731652437
155	6.730187128
156	6.727277932
157	6.725407029
158	6.723635923
159	6.722062701
160	6.720478139
161	6.718462352
162	6.717063577
163	6.714698013
164	6.714504549
165	6.712608019
166	6.710052716
167	6.708332052
168	6.707067184
169	6.704973776
170	6.702257927
171	6.699026772
172	6.696714742
173	6.695487841
174	6.692688065
175	6.689909931
176	6.686662022
177	6.684350923
178	6.683429465
179	6.68288464
180	6.678964781
181	6.674429442
182	6.672661937
183	6.671726233
184	6.669423067
185	6.668201773
186	6.665992339
187	6.663727507
188	6.661555078
189	6.657672292
190	6.654953315
191	6.652526075
192	6.650434889
193	6.648908926
194	6.646554835
195	6.643996726
196	6.64088262
197	6.638291714
198	6.636393954
199	6.634050915
200	6.630936054
201	6.628959209
202	6.62805676
203	6.626644924
204	6.622975371
205	6.619493194
206	6.618383059
207	6.616721628
208	6.612446698
209	6.609377522
210	6.604531162
211	6.602348353
212	6.600033234
213	6.595363812
214	6.593341953
215	6.591225135
216	6.589008132
217	6.585165457
218	6.582698535
219	6.580884874
220	6.576563872
221	6.575433322
222	6.572465832
223	6.567546176
224	6.566289989
225	6.563753314
226	6.561155897
227	6.558728067
228	6.55673741
229	6.55503933
230	6.551279989
231	6.548860008
232	6.545869209
233	6.543361957
234	6.53967348
235	6.538264755
236	6.534686563
237	6.529858916
238	6.526744553
239	6.523391038
240	6.520470906
241	6.516967051
242	6.513565946
243	6.510954839
244	6.507448131
245	6.503638059
246	6.502135416
247	6.500171404
248	6.497399187
249	6.495446424
250	6.49285452
251	6.48974981
252	6.486043072
253	6.483936844
254	6.481933075
255	6.47855309
256	6.476599728
257	6.474742471
258	6.472223834
259	6.470330137
260	6.468626368
261	6.466658378
262	6.463428302
263	6.4614409
264	6.459819918
265	6.458373889
266	6.45707524
267	6.453770069
268	6.452285788
269	6.450369272
270	6.448715132
271	6.444198411
272	6.443051257
273	6.440166855
274	6.437213528
275	6.435372384
276	6.433862535
277	6.431272605
278	6.429601657
279	6.426487054
280	6.424368297
281	6.421003487
282	6.419897638
283	6.416505732
284	6.413596107
285	6.410418471
286	6.408523766
287	6.405437029
288	6.404023121
289	6.402847384
290	6.401399943
291	6.396091361
292	6.393817721
293	6.391735323
294	6.388811935
295	6.387090465
296	6.385156018
297	6.383931022
298	6.381110586
299	6.379176687
300	6.377296039
301	6.373723311
302	6.372314121
303	6.369877304
304	6.369090315
305	6.36611863
306	6.365063092
307	6.360262882
308	6.357026263
309	6.354451858
310	6.351836974
311	6.348981731
312	6.345990955
313	6.34298153
314	6.341367708
315	6.338987232
316	6.3350817
317	6.331662804
318	6.330003917
319	6.326857964
320	6.324933421
321	6.322443113
322	6.320166084
323	6.317985355
324	6.315350572
325	6.312926209
326	6.31108605
327	6.308517987
328	6.306126424
329	6.303799724
330	6.302201641
331	6.299878102
332	6.297262211
333	6.294721997
334	6.293589499
335	6.290916071
336	6.288905701
337	6.287003522
338	6.285468261
339	6.284000362
340	6.28005631
341	6.277764119
342	6.276160869
343	6.273669182
344	6.271308044
345	6.267981992
346	6.265838091
347	6.264125536
348	6.261664835
349	6.259601969
350	6.256219262
351	6.253030537
352	6.249779284
353	6.246880623
354	6.245257579
355	6.24292304
356	6.240905004
357	6.238357375
358	6.236890483
359	6.23526502
360	6.233800735
361	6.232615594
362	6.23030585
363	6.22806149
364	6.225526728
365	6.223576607
366	6.219558498
367	6.21586671
368	6.211955288
369	6.210807694
370	6.209768189
371	6.207676583
372	6.206315397
373	6.204822459
374	6.203023518
375	6.199978419
376	6.198992989
377	6.197025313
378	6.195524307
379	6.193255927
