iter	Passed	Remaining
0	1	1699
1	3	1536
2	4	1647
3	6	1564
4	7	1579
5	9	1518
6	10	1485
7	11	1477
8	13	1448
9	14	1412
10	15	1391
11	16	1331
12	17	1316
13	18	1278
14	19	1300
15	21	1300
16	22	1291
17	23	1284
18	24	1283
19	25	1259
20	27	1263
21	28	1256
22	29	1258
23	30	1259
24	32	1259
25	33	1253
26	35	1273
27	37	1289
28	38	1284
29	39	1285
30	40	1278
31	42	1274
32	43	1268
33	44	1264
34	45	1250
35	46	1245
36	48	1254
37	49	1256
38	51	1257
39	52	1255
40	53	1251
41	54	1253
42	56	1252
43	57	1252
44	58	1250
45	60	1249
46	61	1249
47	62	1245
48	64	1242
49	65	1245
50	66	1244
51	68	1241
52	69	1236
53	70	1232
54	71	1228
55	72	1227
56	74	1225
57	75	1223
58	76	1222
59	77	1220
60	79	1220
61	80	1218
62	82	1225
63	83	1222
64	84	1220
65	86	1219
66	87	1217
67	89	1224
68	90	1223
69	92	1223
70	93	1220
71	94	1216
72	95	1215
73	97	1221
74	98	1218
75	101	1229
76	102	1227
77	103	1225
78	104	1216
79	105	1215
80	106	1212
81	108	1209
82	109	1207
83	110	1205
84	112	1206
85	114	1213
86	115	1210
87	116	1207
88	117	1203
89	118	1201
90	120	1198
91	121	1195
92	122	1193
93	123	1192
94	124	1189
95	126	1187
96	127	1187
97	129	1188
98	130	1187
99	131	1186
100	132	1179
101	133	1178
102	134	1174
103	135	1167
104	136	1166
105	138	1164
106	139	1163
107	140	1162
108	142	1162
109	143	1163
110	145	1164
111	146	1163
112	147	1159
113	148	1157
114	149	1152
115	151	1151
116	152	1151
117	153	1150
118	155	1149
119	156	1147
120	157	1145
121	160	1151
122	161	1151
123	162	1149
124	163	1147
125	165	1147
126	167	1149
127	168	1148
128	169	1147
129	171	1146
130	172	1145
131	174	1148
132	176	1149
133	177	1147
134	178	1144
135	179	1142
136	181	1140
137	182	1139
138	183	1137
139	184	1135
140	185	1132
141	187	1131
142	188	1130
143	190	1131
144	191	1129
145	193	1129
146	194	1130
147	195	1128
