iter	RMSE
0	0.1177207937
1	0.1172272291
2	0.1167460937
3	0.1162756213
4	0.1157959856
5	0.1153261382
6	0.1148788463
7	0.1144167718
8	0.11398788
9	0.1135534754
10	0.1131274686
11	0.1127031772
12	0.1123003161
13	0.1118932828
14	0.1114845055
15	0.1110872492
16	0.110688468
17	0.1103007927
18	0.1099088382
19	0.1095305836
20	0.1091355789
21	0.1087668101
22	0.1084013708
23	0.1080417626
24	0.1076659993
25	0.1073142298
26	0.1069479974
27	0.1066063738
28	0.1062690737
29	0.1059360511
30	0.1056072605
31	0.105281404
32	0.1049417627
33	0.1046069389
34	0.1042948268
35	0.1039695552
36	0.103663935
37	0.1033456735
38	0.1030491288
39	0.1027391832
40	0.1024499886
41	0.1021477321
42	0.1018495985
43	0.1015591387
44	0.1012829896
45	0.101011547
46	0.1007265557
47	0.1004461114
48	0.1001695455
49	0.09989580764
50	0.09962625795
51	0.0993606955
52	0.09909831261
53	0.09883983903
54	0.09858514468
55	0.09833358667
56	0.09808648459
57	0.0978392649
58	0.09759782464
59	0.09735785749
60	0.09712127263
61	0.09690212292
62	0.09667150788
63	0.09644414347
64	0.09622066689
65	0.09600037922
66	0.09578324071
67	0.09556755605
68	0.09535448446
69	0.09515907966
70	0.09495395592
71	0.09476117348
72	0.09457102587
73	0.09437359635
74	0.09417807675
75	0.09398271556
76	0.09379267862
77	0.09360540624
78	0.09341810003
79	0.09323605402
80	0.0930538502
81	0.09287429862
82	0.09270100397
83	0.09252627861
84	0.09236598032
85	0.0921954423
86	0.09202743166
87	0.09187596228
88	0.09171169936
89	0.09156025896
90	0.09140042191
91	0.09124528541
92	0.09109448065
93	0.09094119725
94	0.09080262683
95	0.09065740602
96	0.09051059809
97	0.0903648679
98	0.09022057485
99	0.09007884309
100	0.08993833899
101	0.08980059236
102	0.08966389907
103	0.08953012998
104	0.08940112865
105	0.08927395793
106	0.08914837307
107	0.08901983898
108	0.08889826185
109	0.08877756963
110	0.08865473977
111	0.08853718947
112	0.08841278329
113	0.08829833333
114	0.08818534495
115	0.08807401495
116	0.08796413423
117	0.08785484059
118	0.08774838445
119	0.08764301054
120	0.08753889954
121	0.08743627826
122	0.08732964561
123	0.08722096013
124	0.08712125698
125	0.08701551169
126	0.08691936093
127	0.08682458971
128	0.08673504348
129	0.08664269408
130	0.08654707079
131	0.08645718594
132	0.08636859486
133	0.08627281293
134	0.08618610887
135	0.08610001665
136	0.08601880782
137	0.08593494632
138	0.08585228469
139	0.08577416684
140	0.08569430198
141	0.08561188188
142	0.08553670636
143	0.08545929676
144	0.08538295633
145	0.08530846016
146	0.08523416225
147	0.08516083806
148	0.08508924715
149	0.08501793479
150	0.08494750595
151	0.08487817519
152	0.08481027195
153	0.08474292208
154	0.08467611205
155	0.08461031938
156	0.08454536924
157	0.08448148527
158	0.0844144306
159	0.08435196189
160	0.0842902138
161	0.08422948576
162	0.08416963185
163	0.08411042408
164	0.08405153838
165	0.08399329116
166	0.08393649577
167	0.08388033363
168	0.08382498287
169	0.08376922844
170	0.08371277462
171	0.08365944776
172	0.08360689133
173	0.08354342853
174	0.08349220228
175	0.0834406709
176	0.08338758309
177	0.08333680748
178	0.08328506924
179	0.08322550191
180	0.08317506575
181	0.08312521554
182	0.08307677797
183	0.08302810556
184	0.08298131521
185	0.08293367538
186	0.08288930007
187	0.08284556529
188	0.08279715621
189	0.08275211796
190	0.08270875966
191	0.08266712496
192	0.08262438895
193	0.08258071625
194	0.08253802937
195	0.08249592667
196	0.08245395389
197	0.0824121797
198	0.08237143462
199	0.0823308983
200	0.08229095215
201	0.08225158746
202	0.08221247423
203	0.08217335999
204	0.08213533422
205	0.08209746556
206	0.0820584394
207	0.0820213784
208	0.08198482296
209	0.08195098097
210	0.08191530793
211	0.08187900766
212	0.08184205676
213	0.08180558643
214	0.08176959049
215	0.08173544535
216	0.08170176562
217	0.08166756063
218	0.0816328025
219	0.08160023289
220	0.08156810708
221	0.08153624884
222	0.08150483318
223	0.08147161056
224	0.08143980556
225	0.08140843508
226	0.08137707706
227	0.08134738417
228	0.08131674402
229	0.08128777566
230	0.08125783441
231	0.08122957182
232	0.08120031101
233	0.08116949375
234	0.08114508858
235	0.08111797378
236	0.0810879963
237	0.08106005853
238	0.08103246482
239	0.08100521037
240	0.08097829048
241	0.08095170053
242	0.08092543593
243	0.0808994922
244	0.08087386487
245	0.08085222075
246	0.08082713512
247	0.08080235372
248	0.08077479213
249	0.08074882731
250	0.08072178578
251	0.08070274435
252	0.08067746743
253	0.08065253707
254	0.08062796946
255	0.08060374904
256	0.08057987086
257	0.08055633005
258	0.08053075518
259	0.08050550969
260	0.08048259277
261	0.08045998816
262	0.08043771367
263	0.08041575364
264	0.08039410356
265	0.08037275903
266	0.08035414277
267	0.08033018254
268	0.08031191783
269	0.08029387272
270	0.08027604442
271	0.08025843017
272	0.0802382847
273	0.08021841222
274	0.08020130331
275	0.08018186577
276	0.0801651041
277	0.08014255684
278	0.08012365193
279	0.08010151078
280	0.08008531827
281	0.08006788249
282	0.08005201373
283	0.08003494028
284	0.08001809316
285	0.08000266643
286	0.07998515621
287	0.07997044351
288	0.07995427207
289	0.07993939165
290	0.07992468833
291	0.07991015989
292	0.07989580411
293	0.07987533709
294	0.07985994481
295	0.07983983881
296	0.0798259665
297	0.07981241368
298	0.079797933
299	0.07978445915
300	0.07977069649
301	0.07975132593
302	0.07973783274
303	0.07972451042
304	0.07971172318
305	0.0796928788
306	0.07967889862
307	0.07966514623
308	0.07965157653
309	0.0796392758
310	0.07962628782
311	0.07961424473
312	0.07960234365
313	0.07959024137
314	0.07957725176
315	0.07956598674
316	0.07955325756
317	0.07953557206
318	0.07952287867
319	0.07951047545
320	0.07949825001
321	0.07948713821
322	0.07947615662
323	0.07946530361
324	0.07945435768
325	0.07944371258
326	0.07942686338
327	0.07941619331
328	0.07940448611
329	0.07938966926
330	0.07937940791
331	0.07936926647
332	0.07935789295
333	0.07934502441
334	0.07933510722
335	0.07931905558
336	0.07930320821
337	0.07929231004
338	0.07928269548
339	0.0792671787
340	0.07925485715
341	0.0792454708
342	0.07923619339
343	0.07922702357
344	0.07921195751
345	0.07919708298
346	0.07918814994
347	0.07917627891
348	0.07916619169
349	0.07915744588
350	0.0791440745
351	0.07913255694
352	0.07911823622
353	0.07910952102
354	0.0791009106
355	0.07909120497
356	0.07907723053
357	0.07906343344
358	0.07905239189
359	0.07903881245
360	0.0790307286
361	0.07902140643
362	0.07900810264
363	0.07899741213
364	0.0789884151
365	0.07897536429
366	0.07896247892
367	0.07895362235
368	0.07894593407
369	0.07893833374
370	0.0789280963
371	0.07891606482
372	0.07890847761
373	0.07889999522
374	0.07889105015
375	0.07888372553
376	0.07887387599
377	0.07886415521
378	0.07885697172
379	0.07884976023
380	0.07883763438
381	0.07883064964
382	0.07882374415
383	0.07881679335
384	0.07880874626
385	0.07879940307
386	0.07879097778
387	0.07878262737
388	0.07877525108
389	0.07876676968
390	0.07875769308
391	0.07874713633
392	0.07873560822
393	0.07872912005
394	0.07872078413
395	0.07870946122
396	0.07870122573
397	0.0786930755
398	0.07868560331
399	0.07867757063
400	0.07867025586
401	0.07866298564
402	0.07865677436
403	0.07864875075
404	0.07863777338
405	0.07863169804
406	0.07862388845
407	0.07861311445
408	0.07860247618
409	0.07859400823
410	0.07858612343
411	0.07857913396
412	0.07857328755
413	0.07856289779
414	0.07855163596
415	0.07854388619
416	0.07853621709
417	0.078525907
418	0.07851840131
419	0.07850829721
420	0.07850158601
421	0.07849163034
422	0.07848313071
423	0.07847578982
424	0.07846481043
425	0.07845726751
426	0.07845071193
427	0.07844237463
428	0.07843153085
429	0.07842438891
430	0.07841368278
431	0.07840666771
432	0.07840054264
433	0.07839310136
434	0.078386125
435	0.07838010783
436	0.07836960876
437	0.07836226915
438	0.07835185843
439	0.07834570454
440	0.07833540774
441	0.07833016021
442	0.07832292709
443	0.07831383124
444	0.07830850493
445	0.07830338123
446	0.07829320481
447	0.07828813238
448	0.07827804531
449	0.07826915975
450	0.0782610891
451	0.07825134539
452	0.07824168253
453	0.07823486738
454	0.07822980967
455	0.07822117829
456	0.07821164618
457	0.07820312427
458	0.07819345858
459	0.07818346006
460	0.07817390147
461	0.07816464395
462	0.078157615
463	0.07815216463
464	0.07814731012
465	0.07813791724
466	0.07813310977
467	0.07812484489
468	0.07811797809
469	0.0781082768
470	0.07809870753
471	0.07808966911
472	0.07808331541
473	0.07807650935
474	0.07806844788
475	0.07806292874
476	0.07805402362
477	0.07804577601
478	0.07803905173
479	0.0780302243
480	0.07802356754
481	0.07801580421
482	0.0780080214
483	0.07800633653
484	0.07799706454
485	0.07798945051
486	0.07798077857
487	0.07797217509
488	0.07797050393
489	0.07796598173
490	0.07796150189
491	0.07795639869
492	0.07795033281
493	0.07794132409
494	0.07793284346
495	0.07792843878
496	0.07791958974
497	0.07791303241
498	0.07790960828
499	0.07790141488
500	0.0778954758
