iter	Passed	Remaining
0	0	883
1	1	840
2	2	836
3	3	808
4	4	804
5	4	794
6	5	833
7	6	837
8	7	835
9	8	840
10	9	854
11	10	879
12	11	884
13	12	881
14	13	887
15	14	886
16	15	892
17	16	895
18	17	893
19	18	900
20	19	900
21	20	903
22	21	901
23	22	900
24	23	899
25	23	897
26	25	933
27	27	938
28	27	933
29	28	929
30	29	923
31	30	918
32	31	915
33	32	911
34	32	907
35	33	905
36	34	906
37	35	903
38	36	899
39	37	894
40	38	892
41	38	888
42	40	893
43	41	899
44	42	898
45	43	898
46	44	898
47	45	895
48	46	893
49	46	892
50	47	891
51	48	892
52	50	894
53	51	894
54	52	894
55	53	896
56	54	895
57	55	894
58	56	897
59	57	895
60	58	893
61	58	890
62	59	888
63	60	887
64	61	886
65	62	885
66	63	883
67	64	881
68	65	880
69	66	878
70	66	876
71	67	874
72	68	873
73	69	873
74	71	877
75	72	879
76	73	879
77	74	878
78	75	877
79	76	876
80	77	875
81	78	874
82	79	875
83	80	874
84	81	873
85	82	871
86	83	871
87	84	871
88	85	871
89	86	874
90	87	875
91	88	873
92	89	871
93	90	869
94	91	867
95	91	865
96	92	863
97	93	862
98	94	861
99	95	860
100	96	858
101	97	857
102	98	857
103	99	860
104	100	859
105	102	863
106	103	864
107	104	863
108	105	862
109	106	861
110	107	861
111	108	860
112	109	860
113	110	859
114	111	858
115	112	857
116	113	857
117	114	857
118	115	857
119	117	860
120	118	861
121	119	860
122	120	857
123	121	855
124	121	853
125	122	851
126	123	849
127	124	847
128	125	846
129	126	845
130	127	844
131	128	844
132	129	844
133	130	843
134	131	844
135	133	846
136	134	846
137	135	846
138	136	845
139	137	844
140	138	844
141	139	843
142	140	842
143	141	842
144	142	840
145	143	839
146	144	839
147	145	838
148	146	838
149	148	840
150	149	839
151	150	838
152	151	837
153	152	837
154	153	837
155	154	836
156	155	834
157	156	834
158	157	833
159	158	832
160	159	831
161	160	830
162	161	828
163	162	827
164	163	829
165	165	829
166	166	828
167	166	826
168	168	826
169	169	825
170	170	824
171	171	825
172	172	824
173	173	823
174	174	822
175	175	821
176	176	820
177	177	818
178	178	818
179	179	818
180	180	817
181	181	816
182	182	814
183	183	813
184	184	812
185	185	810
186	186	809
187	187	807
188	188	806
189	189	805
190	190	805
191	191	804
192	191	802
193	193	802
194	194	802
195	195	802
196	196	802
197	197	801
198	199	801
199	200	800
200	201	800
201	202	799
202	203	798
203	204	798
204	205	798
205	206	797
206	208	798
207	209	798
208	210	797
209	211	796
210	212	795
211	213	794
212	214	793
213	215	791
214	216	790
215	217	790
216	218	789
217	219	788
218	220	787
219	221	786
220	222	784
221	223	784
222	224	783
223	226	783
224	227	784
225	228	783
226	229	782
227	230	781
228	231	780
229	232	779
230	233	778
231	235	778
232	236	777
233	237	776
234	238	775
235	239	774
236	240	774
237	241	774
238	242	772
239	243	771
240	244	770
241	245	769
242	246	768
243	247	767
244	248	766
245	249	765
246	250	764
247	251	763
248	252	762
249	253	760
250	255	761
251	256	761
252	257	760
253	258	759
254	259	758
255	260	757
256	261	756
257	262	755
258	263	754
259	264	754
260	265	753
261	266	752
262	268	751
263	269	750
264	270	750
265	271	749
266	272	748
267	273	747
268	274	746
269	275	745
270	276	743
271	277	742
272	278	741
273	279	740
274	280	740
275	281	739
276	282	738
277	283	736
278	284	735
279	286	737
280	287	736
281	288	735
282	289	734
283	290	732
284	291	732
285	292	731
286	293	730
287	294	729
288	295	728
289	296	726
290	297	725
291	299	725
292	300	724
293	301	724
294	302	723
295	303	722
296	304	721
297	305	720
298	306	718
299	307	717
300	308	716
301	309	715
302	310	714
303	311	713
304	312	711
305	313	710
306	314	709
307	315	708
308	316	708
309	317	707
310	318	706
311	319	705
312	320	704
313	321	703
314	323	702
315	324	701
316	325	700
317	326	699
318	327	698
319	328	698
320	329	697
321	330	696
322	331	695
323	333	694
324	333	693
325	334	692
326	335	690
327	336	689
328	337	688
329	338	687
330	339	685
331	340	684
332	341	683
333	342	682
334	343	681
335	344	680
336	345	679
337	347	680
338	348	680
339	349	679
340	350	678
341	352	677
342	353	676
343	354	675
344	355	675
345	357	675
346	358	674
347	359	674
348	360	673
349	362	672
350	363	672
351	364	671
352	365	670
353	366	669
354	367	668
355	368	667
356	369	666
357	370	665
358	371	664
359	372	662
360	373	661
361	375	660
362	376	660
363	377	659
364	378	658
365	379	657
366	380	656
367	381	655
368	382	654
369	384	654
370	385	653
371	386	653
372	388	652
373	389	651
374	390	651
375	391	650
